number,variety,inoculant,salt,replicate,trial,shoots,total_abund,tot_mf,tot_16s,tot_its,tot_oom,rel_amf,rel_16s,rel_its,rel_oom,shoot_score,Microbial_Abundance_Score
193,A,DEL S,S4,3,2,0.5573,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10076299992767773,NA
194,A,DEL S,S4,4,2,0.7032,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1271425471902799,NA
195,A,DEL S,S4,5,2,0.6786,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12269472770666087,NA
196,A,DEL S,S5,1,2,0.2248,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04064511463079482,NA
197,A,DEL S,S5,2,2,0.4602,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08320676936428727,NA
198,A,DEL S,S5,3,2,0.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036576987054314024,NA
199,A,DEL S,S5,4,2,0.3704,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06697042019237723,NA
200,A,DEL S,S5,5,2,0.2551,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04612352643378896,NA
201,A,DEL NS,S1,1,2,3.3919,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.613274752296232,NA
202,A,DEL NS,S1,2,2,2.5613,22379.98,6228.98,14447.05,1601.73,102.22,27.832822013245767,64.553453577706506,7.156976905251926,0.4567475037958032,0.46309756273956754,NA
203,A,DEL NS,S1,3,2,3.3778,12444.29,2947.58,8511.7900000000009,914.91,70.01,23.686204677004472,68.399161382449307,7.35204660129264,0.5625873392535854,0.610725392348304,NA
204,A,DEL NS,S1,4,2,3.2706,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5913430245172488,NA
205,A,DEL NS,S1,5,2,3.4438,15629.630000000001,4295.52,10468.93,814.11,51.07,27.483184182862935,66.981304099969094,5.2087605400767645,0.3267511770912043,0.6226585665726477,NA
206,A,DEL NS,S3,1,2,2.2573,31987.52,17341.42,13658.34,845.68,142.08,54.21308060143455,42.698965096387589,2.6437810746191013,0.44417322755874794,0.40813263903956026,NA
207,A,DEL NS,S3,2,2,2.3361,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42238012584074636,NA
208,A,DEL NS,S3,3,2,2.9224,23914.8,9544.37,13838.52,420.62,111.29,39.9098884372857,57.865924030307589,1.758827169786074,0.4653603626206366,0.5283864902003327,NA
209,A,DEL NS,S3,4,2,2.1274,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3846459824980112,NA
210,A,DEL NS,S3,5,2,1.7636,38255.380000000005,11552.49,17424.2,9200.25,78.44,30.1983407301143,45.547057694891542,24.04955851961214,0.20504305538201423,0.31886887972806827,NA
211,A,DEL NS,S4,1,2,0.7598,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13737614811600493,NA
212,A,DEL NS,S4,2,2,0.6688,20610.6,1125.38,15722.67,3741.43,21.12,5.460200091215201,76.284387645192282,18.15294071982378,0.10247154376874038,0.1209228321400159,NA
213,A,DEL NS,S4,3,2,1.0645,9648.469999999998,1549.21,8004.41,36.22,58.63,16.05653538851238,82.960407194094017,0.3753963063573811,0.6076611110362578,0.1924676357850582,NA
214,A,DEL NS,S4,4,2,0.8021,20473.219999999998,3543.96,14235.09,2564.32,129.85,17.31022281790554,69.530293720284362,12.52524028950991,0.6342431723002049,0.1450242279597888,NA
215,A,DEL NS,S4,5,2,0.6934,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12537065162363492,NA
216,A,DEL NS,S5,1,2,0.3045,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05505532653504014,NA
217,A,DEL NS,S5,2,2,0.2794,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05051710421638822,NA
218,A,DEL NS,S5,3,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
219,A,DEL NS,S5,4,2,0.40324,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07290807839733854,NA
220,A,DEL NS,S5,5,2,0.2362,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04270629926954509,NA
221,A,Floral,S1,1,2,3.4162,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6176683300788313,NA
222,A,Floral,S1,2,2,2.4845,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44921168727851307,NA
223,A,Floral,S1,3,2,3.9118,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7072756201634482,NA
224,A,Floral,S1,4,2,3.2382,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5854849208071164,NA
225,A,Floral,S1,5,2,4.4561,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8056881463802705,NA
226,A,Floral,S3,1,2,2.6478,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4787372532002604,NA
227,A,Floral,S3,2,2,2.0779,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3756961018297534,NA
228,A,Floral,S3,3,2,2.7166,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49117668330078834,NA
229,A,Floral,S3,4,2,2.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3652274535329428,NA
230,A,Floral,S3,5,2,2.3013,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41608808852245605,NA
231,A,Floral,S4,1,2,0.7995,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1445541332176177,NA
232,A,Floral,S4,2,2,0.4307,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07787300209734578,NA
233,A,Floral,S4,3,2,0.6267,14344.94,541.76,13470.58,310.61,21.99,3.7766627117297107,93.904749688740424,2.16529312775097,0.15329447177889902,0.11331091343024517,NA
234,A,Floral,S4,4,2,0.4761,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0860815795183337,NA
235,A,Floral,S4,5,2,0.5251,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09494105735155854,NA
236,A,Floral,S5,1,2,0.1817,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03285239025095827,NA
237,A,Floral,S5,2,2,0.2122,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03836696318796557,NA
238,A,Floral,S5,3,2,0.2543,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045978881897736315,NA
239,A,Floral,S5,4,2,0.2185,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.039506038909380196,NA
240,A,Floral,S5,5,2,0.2126,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0384392854559919,NA
241,A,Swift,S1,1,2,3.518,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.636074347291531,NA
242,A,Swift,S1,2,2,2.6067,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47130614016055544,NA
243,A,Swift,S1,3,2,3.9378,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7119765675851595,NA
244,A,Swift,S1,4,2,4.2095,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7611014681420409,NA
245,A,Swift,S1,5,2,3.8474,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6956317350112099,NA
246,A,Swift,S3,1,2,1.7933,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3242388081290229,NA
247,A,Swift,S3,2,2,2.3075,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4172090836768641,NA
249,A,Swift,S3,4,2,1.8184,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3287770304476748,NA
251,A,Swift,S4,1,2,0.2986,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.053988573081651836,NA
252,A,Swift,S4,2,2,0.4855,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08778115281695234,NA
253,A,Swift,S4,3,2,0.9618,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17389889346929918,NA
254,A,Swift,S4,4,2,0.5037,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09107181601215014,NA
255,A,Swift,S4,5,2,0.3359,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06073262457510667,NA
256,A,Swift,S5,1,2,0.3538,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06396904606928473,NA
257,A,Swift,S5,2,2,0.2356,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.042597815867505606,NA
258,A,Swift,S5,3,2,0.3493,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06315542055398857,NA
259,A,Swift,S5,4,2,0.3022,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05463947349388877,NA
260,A,Swift,S5,5,2,0.1754,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.031713314529543644,NA
261,M,Control,S1,1,2,4.0452,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7313950965502278,NA
262,M,Control,S1,2,2,3.0038,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5431040717436899,NA
263,M,Control,S1,3,2,4.3174,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7806103999421422,NA
265,M,Control,S1,5,2,4.3215,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.781351703189412,NA
266,M,Control,S3,1,2,2.4086,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4354885369205178,NA
267,M,Control,S3,2,2,2.5118,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45414768207130973,NA
268,M,Control,S3,3,2,2.7554,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4981919432993418,NA
269,M,Control,S3,4,2,1.6037,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2899580530845447,NA
270,M,Control,S3,5,2,2.5559,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4621212121212121,NA
271,M,Control,S4,1,2,1.1301,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20432848774137558,NA
272,M,Control,S4,2,2,0.7726,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13969046069284732,NA
273,M,Control,S4,3,2,0.6979,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12618427713893107,NA
274,M,Control,S4,4,2,0.7324,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13242207275620163,NA
275,M,Control,S4,5,2,0.5351,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09674911405221667,NA
276,M,Control,S5,1,2,0.3956,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07152672307803573,NA
277,M,Control,S5,2,2,0.5181,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09367541766109785,NA
278,M,Control,S5,3,2,0.5148,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09307875894988067,NA
279,M,Control,S5,4,2,0.3298,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05962970998770521,NA
280,M,Control,S5,5,2,0.6381,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11537209806899544,NA
281,M,NOK S,S1,1,2,4.4174,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7986909669487234,NA
282,M,NOK S,S1,2,2,3.2228,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5827005134881029,NA
283,M,NOK S,S1,3,2,4.1018,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7416286974759528,NA
284,M,NOK S,S1,4,2,3.4577,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6251717653865625,NA
285,M,NOK S,S1,5,2,4.1009,24012.100000000002,8508.56,13179.59,1688.38,635.57,35.43446845548702,54.887285993311693,7.03137168344293,2.6468738677583383,0.7414659723728936,NA
286,M,NOK S,S3,1,2,2.2732,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4110074491936067,NA
287,M,NOK S,S3,2,2,1.2684,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22933391191147753,NA
288,M,NOK S,S3,3,2,2.6282,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47519346206697044,NA
289,M,NOK S,S3,4,2,2.6254,40426.19,19528.12,18232.71,2442.75,222.61,48.30561574068691,45.101232641512837,6.042493739825592,0.5506578779746496,0.47468720619078614,NA
290,M,NOK S,S3,5,2,2.3249,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42035510233600926,NA
291,M,NOK S,S4,1,2,0.8102,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1464887538873219,NA
292,M,NOK S,S4,2,2,0.6595,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11924133940840384,NA
293,M,NOK S,S4,3,2,0.5883,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10636797569971795,NA
294,M,NOK S,S4,4,2,0.5114,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09246401967165689,NA
295,M,NOK S,S4,5,2,0.5317,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0961343747739929,NA
296,M,NOK S,S5,1,2,0.2963,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05357272004050047,NA
297,M,NOK S,S5,2,2,0.2645,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04782309973240761,NA
298,M,NOK S,S5,3,2,0.2901,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.052451724886092434,NA
299,M,NOK S,S5,4,2,0.2626,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04747956895928256,NA
300,M,NOK S,S5,5,2,0.1837,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0332140015910899,NA
301,M,NOK NS,S1,1,2,4.4204,22395.530000000002,2557.22,18038.8,1704.56,94.95,11.418439304629091,80.546430470723379,7.6111616916411435,0.4239685330063633,0.799233383958921,NA
302,M,NOK NS,S1,2,2,2.8163,4565.639999999999,271.05,4231.9399999999996,55.23,7.42,5.936736142139986,92.691057551624738,1.209688017452099,0.1625182887831717,0.5092030086063499,NA
303,M,NOK NS,S1,3,2,4.2804,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7739205901497072,NA
304,M,NOK NS,S1,4,2,4.089,25627.070000000003,1949.65,16982.03,6611.76,83.63,7.6077756840715685,66.265983586886819,25.799906114901155,0.3263346141404382,0.7393143848991105,NA
305,M,NOK NS,S1,5,2,4.2855,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7748426990670427,NA
306,M,NOK NS,S3,1,2,2.7669,21662.340000000004,4499.75,16848.79,204.58,109.22,20.772224976618404,77.779178057402845,0.944403974824511,0.5041929911542334,0.5002712085050988,NA
307,M,NOK NS,S3,2,2,3.1492,22888.15,4447.09,18154.45,163.79,122.82,19.429661200228065,79.318118764513514,0.715610479658688,0.5366095555997317,0.5693932161712592,NA
308,M,NOK NS,S3,3,2,2.6735,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48338395892095176,NA
309,M,NOK NS,S3,4,2,1.2862,18248.85,1273.06,14279.97,2653.96,41.86,6.97611082342175,78.251341865377825,14.543162993832489,0.22938431736794374,0.23255225283864903,NA
310,M,NOK NS,S3,5,2,2.3693,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4283828740869313,NA
311,M,NOK NS,S4,1,2,0.6269,29706.539999999997,7141.1,21318.61,1046.87,199.96,24.038814348624918,71.764029065653574,3.524038814348625,0.6731177713729031,0.11334707456425834,NA
312,M,NOK NS,S4,2,2,0.4566,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08255586895205033,NA
313,M,NOK NS,S4,3,2,0.9176,21759.68,3886.58,17627.21,97.43,148.46,17.861383990941043,81.008590199855874,0.4477547463933294,0.6822710628097473,0.16590728285239023,NA
314,M,NOK NS,S4,4,2,0.7803,21075.140000000003,4223.94,14357.6,2359.31,134.29,20.04228678907945,68.125763340124905,11.194753629157384,0.6371962416382523,0.1410826643523541,NA
315,M,NOK NS,S4,5,2,0.4219,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07628191220076662,NA
316,M,NOK NS,S5,1,2,0.2948,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05330151153540175,NA
317,M,NOK NS,S5,2,2,0.3039,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05494684313300065,NA
318,M,NOK NS,S5,3,2,0.1302,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02354089824256889,NA
319,M,NOK NS,S5,4,2,0.4824,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08722065523974831,NA
320,M,NOK NS,S5,5,2,0.2565,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0463766543718811,NA
321,M,SLK S,S1,1,2,3.8466,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6954870904751573,NA
322,M,SLK S,S1,2,2,3.7656,18834.89,2381.84,15550.71,820.81,81.53,12.645892808505918,82.56331733288593,4.357922982295091,0.43286687631305515,0.6808418311998264,NA
323,M,SLK S,S1,3,2,4.5352,20144.859999999997,3426.77,13155.28,3506.53,56.28,17.01064192056932,65.303407420056544,17.40657418319115,0.27937647618300654,0.8199898748824762,NA
324,M,SLK S,S1,4,2,4.4583,20976.14,2640.11,17888.72,346.85,100.46,12.586252761470892,85.281276726795312,1.6535454092125625,0.4789251025212456,0.8060859188544153,NA
325,M,SLK S,S1,5,2,4.1029,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7418275837130253,NA
326,M,SLK S,S3,1,2,2.7761,27332.86,6780.22,18249.72,2124.66,178.26,24.806112496094446,66.768424526375952,7.773280951938435,0.6521820255911749,0.5019346206697042,NA
327,M,SLK S,S3,2,2,2.0047,32200.399999999998,4784.16,16040.89,11227.37,147.98,14.857455186892087,49.815809741493894,34.86717556303649,0.45955950857753325,0.3624611267809359,NA
328,M,SLK S,S3,3,2,2.5135,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45445505171042166,NA
329,M,SLK S,S3,4,2,2.5486,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4608013307297317,NA
330,M,SLK S,S3,5,2,2.1084,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3812106747667607,NA
331,M,SLK S,S4,1,2,0.8039,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14534967816590727,NA
332,M,SLK S,S4,2,2,0.6181,19712.069999999996,1818.62,16548.349999999999,1311.78,33.32,9.225920971262786,83.950341085436492,6.654704452652614,0.16903349064811563,0.11175598466767918,NA
333,M,SLK S,S4,3,2,0.3878,19367.45,1857.73,16122.87,1300.59,86.26,9.59202166521664,83.247252477739707,6.715339396771386,0.445386460272261,0.07011643885152238,NA
334,M,SLK S,S4,4,2,0.5081,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09186736096043972,NA
335,M,SLK S,S4,5,2,0.6175,28685.07,5345.36,21161.31,2093.69,84.71,18.634641644590722,73.771163884208761,7.298884053620926,0.295310417579598,0.1116475012656397,NA
336,M,SLK S,S5,1,2,0.1948,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03522094452882042,NA
337,M,SLK S,S5,2,2,0.2316,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04187459318724235,NA
338,M,SLK S,S5,3,2,0.4321,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0781261300354379,NA
339,M,SLK S,S5,4,2,0.2478,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04480364504230852,NA
342,M,SLK NS,S1,2,2,3.5681,24686.12,4636.16,18471.14,1503.91,74.91,18.780432080861633,74.823990161272818,6.092127884009314,0.3034498738562399,0.6451327113618283,NA
344,M,SLK NS,S1,4,2,4.5076,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8149996383886599,NA
346,M,SLK NS,S3,1,2,2.5473,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4605662833586461,NA
347,M,SLK NS,S3,2,2,1.9214,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3474000144644536,NA
348,M,SLK NS,S3,3,2,2.0826,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3765458884790627,NA
349,M,SLK NS,S3,4,2,2.1192,21192.59,4649.72,16274,67.41,201.46,21.940310268825094,76.790991568279281,0.31808287708109295,0.9506152858145229,0.3831633760034715,NA
350,M,SLK NS,S3,5,2,2.1911,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39616330368120345,NA
351,M,SLK NS,S4,1,2,0.6594,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11922325884139726,NA
352,M,SLK NS,S4,2,2,0.6046,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1093151081217907,NA
353,M,SLK NS,S4,3,2,0.6001,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10850148260649453,NA
354,M,SLK NS,S4,4,2,0.5753,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10401750198886238,NA
355,M,SLK NS,S4,5,2,0.493,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08913719534244594,NA
356,M,SLK NS,S5,1,2,0.2698,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04878136978375641,NA
357,M,SLK NS,S5,2,2,0.2828,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.051131843494611987,NA
358,M,SLK NS,S5,3,2,0.2939,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.053138786432342516,NA
359,M,SLK NS,S5,4,2,0.3196,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05778549215303392,NA
360,M,SLK NS,S5,5,2,0.3857,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06973674694438417,NA
361,M,SC S,S1,1,2,4.1228,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7454256165473349,NA
362,M,SC S,S1,2,2,3.9076,51584.399999999994,19768.02,17426.349999999999,14270.56,119.47,38.321701909879735,33.782209350113604,27.664487713339692,0.23160102666697685,0.7065162363491719,NA
363,M,SC S,S1,3,2,4.2587,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7699971071092789,NA
364,M,SC S,S1,4,2,4.504,16875.74,2960.51,11007.99,2811.7,95.54,17.5429936702035,65.229672891381355,16.66119530165788,0.5661381367572622,0.8143487379764228,NA
365,M,SC S,S1,5,2,4.8112,24360.229999999996,2852.67,17161.849999999999,4262.61,83.1,11.710357414523592,70.450278999828825,17.4982338015692,0.3411297840783934,0.8698922398206408,NA
367,M,SC S,S3,2,2,2.1446,30882.920000000002,12335.23,15972.31,2501.61,73.77,39.94191611414982,51.718911294657367,8.100302691584863,0.23886989960793859,0.3877558400231431,NA
368,M,SC S,S3,3,2,0.0473,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008552108194112968,NA
369,M,SC S,S3,4,2,2.61,5011.82,1507.21,3254.2,207.79,42.62,30.07310717463916,64.930504287863485,4.145998858698038,0.8503896787993185,0.47190279887177256,NA
370,M,SC S,S3,5,2,2.1166,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38269328126130037,NA
371,M,SC S,S4,1,2,0.6405,20225.27,2430.46,15863.38,1839.53,91.9,12.016947116157164,78.433464670681772,9.095206145579269,0.45438206758179245,0.11580603167715338,NA
372,M,SC S,S4,2,2,0.4463,26883.6,4837.06,20236.21,1494.28,316.05,17.99260515704742,75.273438081209363,5.558332961359342,1.1756238003838773,0.08069357055037245,NA
373,M,SC S,S4,3,2,0.73740000000000006,24810.69,3134.16,19496.650000000001,2125.69,54.19,12.632296804321042,78.581651699328006,8.567637578801719,0.21841391754924994,0.1333261011065307,NA
374,M,SC S,S4,4,2,0.5203,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09407319013524264,NA
375,M,SC S,S4,5,2,0.5802,5378.26,4273.06,0,1015.88,89.32,79.45060298312094,0,18.88863684537378,1.6607601715052822,0.10490344977218487,NA
376,M,SC S,S5,1,2,0.8647,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15634266290590873,NA
377,M,SC S,S5,2,2,0.3111,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0562486439574745,NA
378,M,SC S,S5,3,2,0.5137,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09287987271280827,NA
379,M,SC S,S5,4,2,0.2757,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049848123237144715,NA
380,M,SC S,S5,5,2,0.2086,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03771606277572865,NA
381,M,SC NS,S1,1,2,3.5215,19261.770000000004,2540.82,16157.92,493.2,69.83,13.190999581035387,83.885956482711592,2.5605123516686157,0.3625315845843865,0.6367071671367615,NA
382,M,SC NS,S1,2,2,3.5871,24671.72,4642.09,19225.54,584.35,219.74,18.815429163430846,77.925414198928976,2.368501263795147,0.8906553738450338,0.6485680190930787,NA
383,M,SC NS,S1,3,2,4.4582,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8060678382874086,NA
384,M,SC NS,S1,4,2,2.811,9484.849999999999,220.46,8742.25,519.82,2.32,2.3243382868469196,92.170672177208928,5.480529475953759,0.024460059990405757,0.5082447385550011,NA
385,M,SC NS,S1,5,2,4.155,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7512475591234541,NA
